smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id
Cc1cc(Cl)cc(C(=O)Nc2cc(S(=O)(=O)c3ccc(Cl)cc3)ccc2Cl)c1O,,CHEMBL334590,470.7610000000002,5.745920000000004,2,4,83.47,4,3,29,0.05,0.5086739176411135,3300.0,5.4815,0,inactive,0.8,5.48,CHEMBL651293
COc1ccc2c(c1)CCc1cc(OC)ccc1/[N+]([O-])=[N+]\2[O-],,CHEMBL344184,300.314,3.238400000000002,0,4,70.6,2,2,22,0.25,0.6303046821639888,7200.0,5.1427,0,inactive,0.8,4.98,CHEMBL651292
CCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,,CHEMBL436605,520.5790000000003,2.7002,3,9,157.32999999999998,10,1,37,0.5769230769230769,0.1825319394938917,2000.0,5.699,0,inactive,0.8,5.7,CHEMBL651293
O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(F)cc2)cc1,,CHEMBL371861,551.6210000000002,5.723800000000004,2,7,118.41,10,4,38,0.074074074074074,0.1119294819661927,3196.5,5.4953,0,inactive,0.8,5.2,CHEMBL858941
Cc1cc(C(=O)N2CCc3ccccc3C2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,CHEMBL464268,476.5800000000003,4.577720000000004,0,4,58.440000000000005,3,4,36,0.2333333333333333,0.4350512714699941,1500.0,5.8239,0,inactive,0.8,5.82,CHEMBL1019892
Cc1cc(C(=O)N(C)c2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,CHEMBL466801,450.5420000000003,4.655820000000005,0,4,58.440000000000005,4,4,34,0.1785714285714285,0.4545763416780153,2500.0,5.6021,0,inactive,0.8,5.6,CHEMBL1019892
Cc1cc(C(=O)N(C)c2cccc(F)c2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,CHEMBL518858,468.5320000000003,4.794920000000004,0,4,58.440000000000005,4,4,35,0.1785714285714285,0.4325914856191015,2300.0,5.6383,0,inactive,0.8,5.64,CHEMBL1019892
Cc1cc(C(=O)N(C)c2ccccc2F)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,CHEMBL480008,468.5320000000003,4.794920000000004,0,4,58.440000000000005,4,4,35,0.1785714285714285,0.4325914856191015,3000.0,5.5229,0,inactive,0.8,5.52,CHEMBL1019892
CCN(C(=O)c1cc(C)n(-c2ccccc2C(=O)N2CCc3ccccc3C2)n1)c1ccccc1,,CHEMBL480009,464.5690000000002,5.045920000000005,0,4,58.440000000000005,5,4,35,0.2068965517241379,0.4155182967770749,1900.0,5.7212,0,inactive,0.8,5.72,CHEMBL1019892
Cc1cc(C(=O)N(c2ccccc2)C2CCCCC2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,CHEMBL516633,518.6610000000002,6.358720000000006,0,4,58.440000000000005,5,4,39,0.303030303030303,0.3089664070272797,1400.0,5.8539,0,inactive,0.8,5.85,CHEMBL1019892
Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,CHEMBL517577,512.6130000000003,6.357720000000008,0,4,58.440000000000005,5,5,39,0.1212121212121212,0.2754394972256984,800.0,6.0969,1,active,0.8,6.1,CHEMBL1019892
Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,,CHEMBL444140,542.6390000000004,5.7186200000000085,1,5,78.67,6,5,41,0.1470588235294117,0.2978105726433941,190.0,6.7212,1,active,0.8,6.72,CHEMBL1019892
Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN,,CHEMBL453380,541.6550000000002,5.685020000000007,1,5,84.46000000000001,6,5,41,0.1470588235294117,0.2995902838672562,110.0,6.9586,1,active,0.8,6.96,CHEMBL1019892
COC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,CHEMBL501871,556.6660000000002,6.372720000000006,0,5,67.67,7,5,42,0.1714285714285714,0.2335900370901162,160.0,6.7959,1,active,0.8,6.8,CHEMBL1019892
CC(=O)NC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,CHEMBL510332,583.6920000000001,5.8624200000000055,1,5,87.54,7,5,44,0.1666666666666666,0.2599896158946564,730.0,6.1367,1,active,0.8,6.14,CHEMBL1019892
Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CNS(C)(=O)=O,,CHEMBL446607,619.7470000000003,5.275520000000006,1,6,104.61,8,5,45,0.1714285714285714,0.2547664075687995,1050.0,5.9788,0,inactive,0.8,5.98,CHEMBL1019892
CCOC(=O)[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,CHEMBL446480,584.6760000000002,6.289420000000006,0,6,84.74,7,5,44,0.1666666666666666,0.210069017824753,5610.0,5.251,0,inactive,0.8,5.25,CHEMBL1019892
COC(=O)C[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,CHEMBL453466,584.6760000000002,6.289420000000006,0,6,84.74,7,5,44,0.1666666666666666,0.210069017824753,280.0,6.5528,1,active,0.8,6.55,CHEMBL1019892
Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN(C)C,,CHEMBL500574,569.7090000000002,6.2879200000000095,0,5,61.68000000000001,7,5,43,0.1944444444444444,0.2312607317075395,150.0,6.8239,1,active,0.8,6.82,CHEMBL1019892
CNC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,CHEMBL500866,555.6820000000001,5.945720000000006,1,5,70.47,7,5,42,0.1714285714285714,0.2696791220366732,140.0,6.8539,1,active,0.8,6.85,CHEMBL1019892
Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1C,,CHEMBL514298,526.6400000000003,6.746220000000008,0,4,58.440000000000005,5,5,40,0.1470588235294117,0.2546645329054644,110.0,6.9586,1,active,0.8,6.96,CHEMBL1019892
Cc1c(Br)c(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,,CHEMBL509788,621.5350000000002,6.481120000000009,1,5,78.67,6,5,42,0.1470588235294117,0.2355651247219238,125.0,6.9031,1,active,0.8,7.4,CHEMBL1019892
