smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id,predicted_pIC50,potency_score,conf_score,qed_score,composite_score,rank
CN(C)CC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5936311,969.1779999999997,9.011300000000004,4,12,203.34,15,6,70,0.3773584905660377,0.0562665730377704,0.063,10.2007,1,active,0.8,10.2,CHEMBL5738376,9.826493791628373,1.0,0.8,0.05626657303777044,0.8311049568752356,1
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@@H](c2ccccc2C2CC2)C1,,CHEMBL5865603,917.1459999999996,8.350300000000008,4,12,186.27,13,5,66,0.48,0.0654636935020492,0.063,10.2007,1,active,0.8,10.2,CHEMBL5738376,9.807267427536923,0.9956619044676484,0.8,0.06546369350204921,0.8303154771787016,2
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@H](c2ccccc2C2CC2)C1,,CHEMBL6011671,917.1459999999996,8.350300000000008,4,12,186.27,13,5,66,0.48,0.0654636935020492,0.071,10.1487,1,active,0.8,10.15,CHEMBL5738376,9.807267427536923,0.9956619044676484,0.8,0.06546369350204921,0.8285555424873894,3
CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5847503,944.0899999999996,9.987099999999998,4,11,183.03,13,5,67,0.4693877551020408,0.0651141767743361,0.063,10.2007,1,active,0.8,10.2,CHEMBL5738376,9.791899343116887,0.9921943628125411,0.8,0.06511417677433616,0.828529278841991,4
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5773439,955.1509999999996,8.669100000000006,5,12,212.13,15,6,69,0.3653846153846153,0.0483502510483443,0.064,10.1938,1,active,0.8,10.19,CHEMBL5738376,9.78698148416194,0.991084733250773,0.8,0.04835025104834437,0.8252263454066302,5
CC(C)c1ccccc1[C@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5887445,944.0899999999996,9.987099999999998,4,11,183.03,13,5,67,0.4693877551020408,0.0651141767743361,0.098,10.0088,1,active,0.8,10.01,CHEMBL5738376,9.791899343116887,0.9921943628125411,0.8,0.06511417677433616,0.8220344429330907,6
CC1(C)CC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC(C)(C)O1,,CHEMBL5783645,916.158,10.241299999999995,3,11,172.03,13,5,66,0.4901960784313725,0.0758190521885887,0.092,10.0362,1,active,0.8,10.04,CHEMBL5738376,9.744603723606392,0.981522926719769,0.8,0.0758190521885887,0.8192318064015724,7
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@@H]5COCCO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5903988,850.0109999999996,7.357900000000008,3,12,181.26,13,5,61,0.4222222222222222,0.0792749241062402,0.059,10.2291,1,active,0.8,10.23,CHEMBL5738376,9.681995522080141,0.9673964721266003,0.8,0.07927492410624021,0.8192156406994459,8
O=C(NS(=O)(=O)c1ccc(NC[C@@H]2COCCO2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5965443,862.0219999999998,7.672900000000008,3,12,181.26,13,5,62,0.4347826086956521,0.0777741222957385,0.07,10.1549,1,active,0.8,10.15,CHEMBL5738376,9.699544280002218,0.9713560449287161,0.8,0.07777412229573852,0.8184590154040178,9
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5871180,896.0829999999996,9.462600000000002,4,11,183.03,13,6,65,0.32,0.0640063048091191,0.068,10.1675,1,active,0.8,10.17,CHEMBL5738376,9.704709892561327,0.9725215757934154,0.8,0.06400630480911917,0.8174030539270385,10
