smiles,source,predicted_pIC50,predicted_IC50_nM,MolWt,LogP,QED,AromaticRings,RingCount,is_novel,admet_caco2_class,admet_caco2_risk,admet_hia_class,admet_hia_risk,admet_pgp_substrate,admet_pgp_risk,admet_bioavailability_score,admet_bioavailability_risk,admet_tpsa,admet_mw,admet_logp,admet_bbb_penetrant,admet_bbb_logbb,admet_bbb_risk,admet_ppb_class,admet_ppb_risk,admet_vod_class,admet_vod_risk,admet_cyp_alerts,admet_cyp_n_alerts,admet_cyp_inhibition_risk,admet_cyp_risk,admet_metabolic_stability,admet_metabolic_stability_score,admet_metabolic_risk,admet_renal_clearance,admet_renal_risk,admet_halflife_class,admet_halflife_risk,admet_herg_risk_flag,admet_herg_alerts,admet_herg_n_alerts,admet_herg_risk,admet_ames_alerts,admet_ames_n_alerts,admet_ames_risk,admet_hepatotox_alerts,admet_hepatotox_n_alerts,admet_hepatotox_risk,admet_mrdd_class,admet_mrdd_risk,admet_score,admet_class,admet_absorption_score,admet_distribution_score,admet_metabolism_score,admet_excretion_score,admet_toxicity_score,admet_n_red_flags,admet_n_yellow_flags,admet_n_green_flags
COC1C[C@@H](CNc2ccc(S(=N)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCN(C)C[C@@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC[C@]1(C)O,mutation,9.820903586382512,0.1510415430015922,946.188,8.607170000000004,0.0525054806944127,5,10,True,low,red,low,red,True,yellow,0.0,red,202.27999999999997,946.188,8.607170000000004,False,-0.525,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CN(C)CCOC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6F)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.781154914203578,0.1655179450456493,965.1619999999996,8.18880000000001,0.0599484624350337,5,10,True,low,red,low,red,True,yellow,0.0,red,184.49999999999997,965.1619999999997,8.18880000000001,False,-0.412,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cc5cc[nH]c5n#c4C)c3)cc2)CC1,mutation,9.767687808368288,0.1707309243478521,969.1779999999997,8.922810000000004,0.048235426115623,6,9,True,low,red,low,red,True,yellow,0.0,red,212.12999999999994,969.1779999999995,8.922810000000004,False,-0.574,green,high,yellow,high,yellow,,0,low,green,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.356,poor,0.125,0.667,0.5,0.5,0.25,6,7,2
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)SC3)C2)[C@@H](c2ccccc2C2CC2)C1,mutation,9.764487564874582,0.1719936587364715,935.1859999999998,8.608400000000007,0.0500183285253155,5,10,True,low,red,low,red,True,yellow,0.0,red,186.27,935.1859999999998,8.608400000000007,False,-0.364,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CN(C)CC(=O)N1CCC(Cl)(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+]=O)c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.751471957940945,0.1772262475059093,987.6239999999996,9.187300000000002,0.0717822750253131,6,9,True,low,red,low,red,True,yellow,0.0,red,191.36999999999998,987.6239999999996,9.187300000000002,False,-0.326,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitroso,alkyl_halide",2,red,aniline,1,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](N)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.746221746086697,0.1793817489070332,920.1499999999994,7.492600000000008,0.0440711422789547,5,9,True,low,red,low,red,True,yellow,0.0,red,212.29,920.1499999999994,7.492600000000008,False,-0.798,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.716266701476854,0.1921911115354635,923.1529999999996,8.828500000000005,0.062286319848855,6,9,True,low,red,low,red,True,yellow,0.15,red,189.08,923.1529999999996,8.828500000000005,False,-0.358,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.391,poor,0.163,0.667,0.25,0.5,0.5,5,8,2
CC[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCN(C)C[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+][O-])CC1,mutation,9.704951401924747,0.1972643464942763,915.1739999999998,8.565900000000006,0.0784416019701566,5,10,True,low,red,low,red,True,yellow,0.0,red,180.29,915.1739999999998,8.565900000000006,False,-0.311,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.381,poor,0.125,0.667,0.25,0.5,0.5,5,8,2
CC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4O)c(Oc4cnc5[nH]ccc5n4)c3)CC2)C1,mutation,9.704615171295934,0.1974171276129886,936.1489999999994,7.69690000000001,0.0564732792528968,5,9,True,low,red,low,red,True,yellow,0.0,red,219.39,936.1489999999994,7.69690000000001,False,-0.837,green,high,yellow,high,yellow,,0,low,green,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.356,poor,0.125,0.667,0.5,0.5,0.25,6,7,2
CN1C[C@H](c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)CS1,mutation,9.7013136819525,0.1989236035796374,935.1859999999996,8.956000000000005,0.0498633434463254,5,10,True,low,red,low,red,True,yellow,0.0,red,186.27,935.1859999999995,8.956000000000005,False,-0.311,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
