rank,record_id,smiles,vina_score,composite_docking_score,predicted_pIC50,predicted_IC50_nM,admet_score,admet_class,MolWt,LogP,QED,RingCount,admet_herg_risk,admet_ames_risk,admet_hepatotox_risk,admet_cyp_inhibition_risk,admet_metabolic_stability,n_conformers,admet_n_red_flags,admet_n_yellow_flags,admet_caco2_class,admet_hia_class,admet_bbb_penetrant
1,cand_233,CN1CC=C(c2ccccc2[C@@H]2CN(C)CCN2C(=O)C2CC3(CCN([C@H]4CC[C@](C)(O)CC4)CC3)C2)CC1,-3.597,0.6259,7.042533921118327,90.67051424692472,0.8,favorable,534.7890000000003,4.406400000000003,0.6204610648129385,6,red,green,green,low,moderate,3,1,4,high,high,True
2,cand_209,CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN(C6CCOCC6)CC5)C4)CC3)C2)CC1,-3.508,0.7571,7.2917984546580925,51.074196771752405,0.722,favorable,531.7850000000004,5.562900000000006,0.5095447862001807,7,red,green,green,low,moderate,3,1,6,high,moderate,True
3,cand_204,CN1CC=C(c2ccccc2[C@H]2CCCN2C(=O)C2CC3(CCN(c4ccccc4C4=CCN(C)CC4)CC3)C2)CC1,-3.494,0.7989,7.369919303302259,42.66587893386635,0.672,moderate,564.8180000000001,6.484700000000008,0.4156610564072407,7,red,green,yellow,low,moderate,3,1,8,high,moderate,True
4,cand_236,CN1CCN(C(=O)C2CC3(CCN(C4CCOCC4)CC3)C2)[C@H](c2cnc3[nH]ccc3c2)C1,-3.427,0.5214,7.023976163239537,94.6289098124129,0.788,favorable,451.6150000000002,3.049200000000001,0.7771786496185912,6,yellow,green,green,moderate,high,3,0,6,high,high,False
5,cand_228,CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCN(C)C[C@H]2C2CC2)C3)CC1,-3.395,0.535,7.062134751139977,86.66929200519819,0.788,favorable,462.6820000000004,3.9547000000000025,0.6777488209813847,6,red,green,yellow,low,high,3,1,4,high,high,True
6,cand_231,CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCC[C@@H]2C2CC2)C3)CC1,-3.389,0.5209,7.048105676139975,89.5146924463728,0.788,favorable,433.6400000000003,4.803100000000005,0.6822069293871337,6,red,green,yellow,low,high,3,1,4,high,high,True
7,cand_201,CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN([C@H]6CC[C@](C)(O)CC6)CC5)C4)CC3)C2)CC1,-3.383,0.7731,7.397493922661789,40.04110714790555,0.709,favorable,559.8390000000003,6.077500000000007,0.4859802634331077,7,red,green,green,low,moderate,3,1,7,high,moderate,True
8,cand_219,CC(C)C1CC2(CCN(C(=O)C3CC4(CCN(c5ccccc5C5=CCN(C)CC5)CC4)C3)CC2)C1,-3.255,0.5468,7.184243403401881,65.42693814071335,0.737,favorable,489.7480000000005,6.076900000000007,0.5130124264060422,6,red,green,yellow,low,high,3,1,5,high,high,True
9,cand_232,CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCC4(CC2)CC(N(C)C)C4)C3)CC1,-3.246,0.4461,7.046020670147908,89.94547711643128,0.788,favorable,490.7360000000005,4.734900000000005,0.610192875056474,6,red,green,yellow,low,high,3,1,4,high,high,True
10,cand_238,CN1CC=C(c2ccccc2[C@@H]2CN(C)CCN2C(=O)C2CC3(CCN(C4CC4)CC3)C2)CC1,-3.221,0.4213,7.018923991118331,95.73616111117248,0.825,favorable,462.6820000000004,3.875200000000003,0.6794886875323441,6,red,green,green,low,high,3,1,3,high,high,True
11,cand_213,O=C(C1CC2(CCN([C@@H]3COCCO3)CC2)C1)N1CCC2(CC1)CC(c1cnc3[nH]ccc3c1)C2,-3.213,0.5621,7.226854155960712,59.31244731979154,0.75,favorable,478.6370000000003,3.914200000000002,0.7243058419972614,7,red,green,green,moderate,high,3,1,5,high,high,True
12,cand_212,CN1CC=C(c2ccccc2[C@@H]2CN(C)CCN2C(=O)C2CC3(CCN(c4cnc5[nH]ccc5c4)CC3)C2)CC1,-3.213,0.5735,7.241361875194254,57.363827981784006,0.75,favorable,538.7400000000002,4.793700000000004,0.5175902069698163,7,red,green,green,moderate,moderate,3,1,5,high,high,True
13,cand_207,CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN(C6CC6)CC5)C4)CC3)C2)CC1,-3.206,0.6497,7.330601113974364,46.708818939011564,0.788,favorable,487.7320000000005,5.546300000000006,0.5574112207122424,7,red,green,green,low,high,3,1,4,high,high,True
14,cand_215,O=C(C1CC2(CCN(c3cnc4[nH]ccc4c3)CC2)C1)N1CCC2(CC1)CC([C@@H]1COCCO1)C2,-3.204,0.547,7.213522723394945,61.1613800923493,0.75,favorable,478.6370000000005,3.993700000000003,0.7223362221681386,7,red,green,green,moderate,high,3,1,5,high,high,True
15,cand_225,CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCN(C)C[C@H]2[C@H]2CC[C@](C)(O)CC2)C3)CC1,-3.188,0.4407,7.085069527092354,82.21110259748501,0.762,favorable,534.7890000000003,4.485900000000004,0.6172007571216306,6,red,green,yellow,low,moderate,3,1,5,high,high,True
16,cand_235,CN1CC=C(c2ccccc2[C@H]2CCCN2C(=O)C2CC3(CCN(C4CCOCC4)CC3)C2)CC1,-3.18,0.4106,7.03199022401876,92.8987298075294,0.825,favorable,477.6930000000005,4.740200000000005,0.6276398752063537,6,red,green,green,low,high,3,1,3,high,high,True
17,cand_243,CN1CC=C(c2ccccc2C2CCN(C(=O)C3CC4(CCN(C5CC5)CC4)C3)CC2)CC1,-3.151,0.3781,7.009575990165949,97.81917818536216,0.825,favorable,447.6670000000004,4.766100000000005,0.6654459298890437,6,red,green,green,low,high,3,1,3,high,high,True
18,cand_210,CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCN(C)C[C@H]2c2cnc4[nH]ccc4c2)C3)CC1,-3.151,0.5399,7.250991672279389,56.105873439064645,0.712,favorable,538.7400000000001,4.793700000000004,0.5175902069698163,7,red,green,yellow,moderate,moderate,3,1,6,high,high,True
