smiles,source,predicted_pIC50,predicted_IC50_nM,MolWt,LogP,QED,AromaticRings,RingCount,is_novel
COC1C[C@@H](CNc2ccc(S(=N)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCN(C)C[C@@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC[C@]1(C)O,mutation,9.820903586382512,0.1510415430015922,946.188,8.607170000000004,0.0525054806944127,5,10,True
CN(C)CCOC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6F)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.781154914203578,0.1655179450456493,965.1619999999996,8.18880000000001,0.0599484624350337,5,10,True
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cc5cc[nH]c5n#c4C)c3)cc2)CC1,mutation,9.767687808368288,0.1707309243478521,969.1779999999997,8.922810000000004,0.048235426115623,6,9,True
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)SC3)C2)[C@@H](c2ccccc2C2CC2)C1,mutation,9.764487564874582,0.1719936587364715,935.1859999999998,8.608400000000007,0.0500183285253155,5,10,True
CN(C)CC(=O)N1CCC(Cl)(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+]=O)c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.751471957940945,0.1772262475059093,987.6239999999996,9.187300000000002,0.0717822750253131,6,9,True
CC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](N)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.746221746086697,0.1793817489070332,920.1499999999994,7.492600000000008,0.0440711422789547,5,9,True
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.716266701476854,0.1921911115354635,923.1529999999996,8.828500000000005,0.062286319848855,6,9,True
CC[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCN(C)C[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+][O-])CC1,mutation,9.704951401924747,0.1972643464942763,915.1739999999998,8.565900000000006,0.0784416019701566,5,10,True
CC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4O)c(Oc4cnc5[nH]ccc5n4)c3)CC2)C1,mutation,9.704615171295934,0.1974171276129886,936.1489999999994,7.69690000000001,0.0564732792528968,5,9,True
CN1C[C@H](c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)CS1,mutation,9.7013136819525,0.1989236035796374,935.1859999999996,8.956000000000005,0.0498633434463254,5,10,True
