property,value
n_molecules,1723
MolWt_mean,772.4536
MolWt_std,120.9908
MolWt_min,300.314
MolWt_max,1135.855
MolWt_median,783.335
MolWt_count,1723
LogP_mean,7.5954
LogP_std,1.329
LogP_min,2.594
LogP_max,11.9919
LogP_median,7.6173
LogP_count,1723
TPSA_mean,130.8258
TPSA_std,40.5874
TPSA_min,50.69
TPSA_max,269.64
TPSA_median,123.76
TPSA_count,1723
HBD_mean,1.9849
HBD_std,1.1251
HBD_min,0.0
HBD_max,8.0
HBD_median,2.0
HBD_count,1723
HBA_mean,8.7081
HBA_std,2.3827
HBA_min,2.0
HBA_max,17.0
HBA_median,9.0
HBA_count,1723
QED_mean,0.1552
QED_std,0.0973
QED_min,0.0107
QED_max,0.7346
QED_median,0.1498
QED_count,1723
pIC50_mean,7.7295
pIC50_std,0.9455
pIC50_min,5.1284
pIC50_max,10.2366
pIC50_median,7.8239
pIC50_count,1723
confidence_score_mean,0.8
confidence_score_std,0.0
confidence_score_min,0.8
confidence_score_max,0.8
confidence_score_median,0.8
confidence_score_count,1723
NumRotatableBonds_mean,10.4922
NumRotatableBonds_std,3.7269
NumRotatableBonds_min,1.0
NumRotatableBonds_max,28.0
NumRotatableBonds_median,11.0
NumRotatableBonds_count,1723
